,Census Block FIPS Code,Max Advertised Downstream Speed (mbps)
323,12007,1000.0
324,12009,10000.0
325,12011,10000.0
326,12013,1000.0
327,12015,1000.0
328,12017,1000.0
329,12019,1000.0
330,12021,10000.0
331,12023,1000.0
332,12027,1000.0
333,12029,100.0
334,12031,10000.0
335,12033,10000.0
336,12035,1000.0
337,12037,1000.0
338,12039,1000.0
339,12041,1000.0
340,12043,1000.0
341,12045,1000.0
342,12047,1000.0
343,12049,1000.0
344,12051,1000.0
345,12053,1000.0
346,12055,1000.0
347,12057,10000.0
348,12059,1000.0
349,12061,10000.0
350,12063,1000.0
351,12065,940.0
352,12067,1000.0
353,12069,1000.0
354,12071,10000.0
355,12073,10000.0
356,12075,1000.0
357,12077,940.0
358,12079,1000.0
359,12081,10000.0
360,12083,10000.0
361,12085,10000.0
362,12086,10000.0
363,12087,1000.0
364,12089,10000.0
365,12091,10000.0
366,12093,1000.0
367,12095,10000.0
368,12097,10000.0
369,12099,10000.0
370,12101,1000.0
371,12103,1000.0
372,12105,10000.0
373,12107,1000.0
374,12109,10000.0
375,12111,10000.0
376,12113,1000.0
377,12115,10000.0
378,12117,1000.0
379,12119,1000.0
380,12121,1000.0
381,12123,1000.0
382,12125,1000.0
383,12127,10000.0
384,12129,1000.0
385,12131,1000.0
386,12133,1000.0
387,13001,1000.0
388,13003,1000.0
389,13005,1000.0
390,13007,1000.0
391,13009,1000.0
392,13011,1000.0
393,13013,1000.0
394,13015,1000.0
395,13017,1000.0
396,13019,1000.0
397,13021,1000.0
398,13023,1000.0
399,13025,1000.0
400,13027,1000.0
401,13029,10000.0
402,13031,1000.0
403,13033,1000.0
404,13035,1000.0
405,13037,1000.0
406,13039,1000.0
407,13043,1000.0
408,13045,1000.0
409,13047,10000.0
410,13049,1000.0
411,13051,10000.0
412,13053,1000.0
413,13055,10000.0
414,13057,10000.0
415,13059,1000.0
416,13061,1000.0
417,13063,1000.0
418,13065,1000.0
419,13067,10000.0
420,13069,1000.0
421,13071,1000.0
422,13073,1000.0
423,13075,1000.0
424,13077,1000.0
425,13079,1000.0
426,13081,1000.0
427,13083,10000.0
428,13085,1000.0
429,13087,1000.0
430,13089,10000.0
431,13091,1000.0
432,13093,1000.0
433,13095,1000.0
434,13097,10000.0
435,13099,1000.0
436,13101,100.0
437,13103,1000.0
438,13105,1000.0
439,13107,1000.0
440,13109,1000.0
